Date,Open,High,Low,Close
10/5/2019,1.5305,1.53254,1.5279,1.53047
13/5/2019,1.53283,1.54188,1.531,1.53266
14/5/2019,1.53872,1.53922,1.5332,1.53868
15/5/2019,1.53355,1.53537,1.5305,1.53372
16/5/2019,1.53331,1.5355,1.5303,1.53327
17/5/2019,1.53397,1.53778,1.533,1.53382
20/5/2019,1.53676,1.5375,1.5332,1.536
21/5/2019,1.53583,1.53937,1.5343,1.53592
22/5/2019,1.5362,1.54058,1.5362,1.53686
23/5/2019,1.53832,1.54059,1.53627,1.53842
24/5/2019,1.54192,1.54323,1.5388,1.5414
27/5/2019,1.54038,1.54056,1.5374,1.54058
28/5/2019,1.53893,1.54213,1.5379,1.53891
29/5/2019,1.5391,1.54311,1.5374,1.539
30/5/2019,1.53718,1.53789,1.5334,1.53741
31/5/2019,1.53583,1.53878,1.5329,1.53616
3/6/2019,1.53532,1.53581,1.5305,1.53535
4/6/2019,1.53658,1.54202,1.5358,1.53657
5/6/2019,1.53755,1.54044,1.535,1.53764
6/6/2019,1.5335,1.54059,1.5321,1.53413
7/6/2019,1.53829,1.54446,1.5367,1.53846
10/6/2019,1.54291,1.54626,1.5422,1.5428
11/6/2019,1.54545,1.54611,1.5423,1.54548
12/6/2019,1.54443,1.54762,1.5432,1.54454
13/6/2019,1.54311,1.54361,1.5395,1.54323
14/6/2019,1.5413,1.54312,1.5366,1.54137
17/6/2019,1.53781,1.54042,1.5358,1.5373
18/6/2019,1.53835,1.5413,1.5292,1.53838
19/6/2019,1.52983,1.53272,1.5295,1.53023
20/6/2019,1.53125,1.5344,1.5286,1.5304
21/6/2019,1.53145,1.53761,1.5303,1.53142
24/6/2019,1.54079,1.54319,1.5394,1.5408
25/6/2019,1.54247,1.54355,1.5388,1.5421
26/6/2019,1.53972,1.5406,1.5368,1.5392
27/6/2019,1.54043,1.54116,1.5369,1.54032
28/6/2019,1.53844,1.54133,1.5369,1.5379
1/7/2019,1.53563,1.53721,1.5318,1.5354
2/7/2019,1.53018,1.53435,1.5288,1.53023
3/7/2019,1.53058,1.53268,1.5286,1.53052
4/7/2019,1.53063,1.53072,1.528,1.5299
5/7/2019,1.52958,1.53018,1.5255,1.52956
8/7/2019,1.5263,1.52847,1.5234,1.526
9/7/2019,1.52498,1.52628,1.5236,1.5249
10/7/2019,1.52626,1.52857,1.5244,1.5255
11/7/2019,1.5281,1.52912,1.5253,1.528
12/7/2019,1.52838,1.53173,1.5271,1.52714
15/7/2019,1.53062,1.53097,1.526,1.5307
16/7/2019,1.52725,1.52759,1.522,1.52711
17/7/2019,1.52266,1.52857,1.5218,1.52254
18/7/2019,1.52738,1.52894,1.525,1.52727
19/7/2019,1.52769,1.52927,1.5246,1.52776
22/7/2019,1.5251,1.52722,1.5243,1.526
23/7/2019,1.5253,1.52634,1.521,1.52538
24/7/2019,1.52308,1.52308,1.5185,1.5223
25/7/2019,1.51985,1.52731,1.5165,1.5193
26/7/2019,1.5241,1.52568,1.5225,1.52396
29/7/2019,1.5236,1.52722,1.5232,1.52412
30/7/2019,1.5259,1.52875,1.5241,1.52669
31/7/2019,1.5282,1.52938,1.5225,1.52884
1/8/2019,1.5218,1.5218,1.5158,1.52162
2/8/2019,1.52595,1.52913,1.5224,1.52566
5/8/2019,1.52958,1.5479,1.5292,1.52956
6/8/2019,1.55735,1.55847,1.5412,1.55734
7/8/2019,1.54753,1.55516,1.546,1.54715
8/8/2019,1.54974,1.55288,1.5471,1.54919
9/8/2019,1.54619,1.55309,1.5446,1.5464
